id,created_at,updated_at,country,average,count,s1,s2,s3,s4,s5,type,date_string
112,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.519,43541,2303,846,1692,5801,32899,ios,20160902
113,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160903
114,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.519,43541,2303,846,1692,5801,32899,ios,20160903
115,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.52,43656,2305,849,1694,5819,32989,ios,20160904
116,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160904
117,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160905
118,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.52,43686,2305,849,1696,5820,33016,ios,20160905
119,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160906
120,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.52,43748,2305,848,1697,5831,33067,ios,20160906
121,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.521,43860,2308,853,1695,5847,33157,ios,20160907
122,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160907
123,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.379,150056,8790,4466,8631,27328,100841,android,20160908
124,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.521,43891,2309,853,1694,5851,33184,ios,20160908
125,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160909
126,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.52,43969,2318,855,1701,5856,33239,ios,20160909
127,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160910
128,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.521,44030,2319,856,1703,5862,33290,ios,20160910
129,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160911
130,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.521,44077,2320,857,1701,5868,33331,ios,20160911
131,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.521,44154,2323,857,1703,5877,33394,ios,20160912
132,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160912
133,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160913
134,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.522,44223,2324,855,1710,5877,33457,ios,20160913
135,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160914
136,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.522,44367,2329,858,1710,5896,33574,ios,20160914
137,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.522,44367,2329,858,1710,5896,33574,ios,20160915
138,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.373,151456,9056,4578,8714,27556,101552,android,20160915
139,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.522,44367,2329,858,1710,5896,33574,ios,20160916
140,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,152423,9164,4625,8747,27725,102162,android,20160916
141,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.522,44483,2330,858,1718,5921,33656,ios,20160917
142,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.372,152423,9164,4625,8747,27725,102162,android,20160917
143,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.523,44576,2333,858,1720,5933,33732,ios,20160919
